codigo_municipio,cod_seccion,mos,area_km2,setr,lat,lon,partes
05031,05031300902,12,20.7125810864,050313009,6.85162996261,-75.1206111841,1
05031,05031300903,68,22.4233087428,050313009,6.82030429587,-75.1327938298,1
05031,05031300904,140,20.1350807642,050313009,6.80456775034,-75.095045726,1
05031,05031300905,64,22.5816589302,050313009,6.78179098909,-75.0543463707,1
05031,05031301001,34,20.4193853613,050313010,6.87367817169,-75.0707743506,1
05031,05031301002,34,21.5082541105,050313010,6.83048516323,-75.0651007194,1
05031,05031301003,12,20.8780877159,050313010,6.85475784051,-75.0330363151,1
05031,05031301004,155,20.550436912,050313010,6.84273370375,-74.9980418894,1
05031,05031301005,153,20.2451918294,050313010,6.87003290893,-74.9706521313,1
05031,05031301006,70,23.0767473277,050313010,6.81513173676,-74.9719378836,1
05031,05031301007,38,21.2581748665,050313010,6.7798005535,-74.9361964364,1
05031,05031301101,83,22.9497321332,050313011,6.90813289132,-74.940239921,1
05031,05031301102,56,19.600701136,050313011,6.89751591216,-74.8973689138,1
05031,05031301103,134,22.0995335843,050313011,6.86432922829,-74.9319530895,1
05031,05031301104,107,21.9234347458,050313011,6.85351787661,-74.8994100514,1
05031,05031301105,93,24.941203721,050313011,6.81468805042,-74.9256092891,1
05034,05034300101,280,17.3666314512,050343001,5.744308174,-75.8712247259,1
05034,05034300102,659,23.1100114632,050343001,5.71110073639,-75.8582289102,1
05034,05034300103,1411,24.1623401845,050343001,5.66041354585,-75.858187157,1
05034,05034300104,275,20.4124852411,050343001,5.6660133218,-75.8303416068,1
05034,05034300201,1090,20.8681593225,050343002,5.66924562358,-75.9312792108,1
05034,05034300202,950,19.3909385402,050343002,5.68062646985,-75.8950323847,1
05034,05034300203,1022,24.6248630996,050343002,5.63592065309,-75.9046039331,1
05034,05034300301,817,22.6554810005,050343003,5.59746034768,-75.9074489425,1
05034,05034300302,161,18.999540512,050343003,5.56992848055,-75.925697976,1
05034,05034300303,472,18.4305506071,050343003,5.55460179612,-75.8874528024,1
05034,05034300304,38,18.7838294841,050343003,5.53465766027,-75.9259920261,1
05034,05034300305,25,17.147833806,050343003,5.50694980087,-75.9019033264,1
05034,05034300401,0,14.7950646826,050343004,5.60473118981,-75.982070344,1
05034,05034300402,168,15.2584251574,050343004,5.61065360292,-75.9493494769,1
05034,05034300403,0,9.1763018931,050343004,5.58502277118,-75.998127756,1
05034,05034300404,0,19.2019530594,050343004,5.56384813977,-75.9715499649,1
05034,05034300405,0,15.8334418988,050343004,5.53821013096,-75.9720268928,1
05034,05034300406,36,7.60650138539,050343004,5.51814050735,-75.9516626836,1
05034,05034300501,0,7.03994615694,050343005,5.67097092298,-76.0538953517,1
05034,05034300502,11,14.6744987915,050343005,5.66178009706,-76.0101495945,1
05034,05034300503,203,17.9408991078,050343005,5.68005755009,-75.9672364385,1
05034,05034300504,2,9.54121041948,050343005,5.63898753551,-76.0110167975,1
05034,05034300505,170,22.8597095054,050343005,5.64317703736,-75.9650059677,1
05036,05036300101,65,29.2969365798,050363001,6.14778152595,-75.7070252587,1
05036,05036300102,235,26.3122594251,050363001,6.11117877436,-75.7419691654,1
05036,05036300103,316,25.2481523318,050363001,6.10214464026,-75.6993592177,1
05038,05038300101,227,20.9027962086,050383001,6.93455146326,-75.288206862,1
05038,05038300102,363,22.6566011208,050383001,6.88391180629,-75.3050102967,1
05038,05038300103,129,19.0938585185,050383001,6.87111692857,-75.2708700122,1
05038,05038300104,93,17.5910081201,050383001,6.84740640808,-75.3025130988,1
05038,05038300105,212,20.6816866411,050383001,6.93317837982,-75.2607805857,1
